Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;;;;

Amsterdam Bos en Lommerweg;Pietro van de Rijt;06-12761964;PietrovandeRijt@armyspy.com;Wethouder den Hertogstraat 141;Amsterdam-Zuidoost;donderdag 15 juni 2017;Afhalen;donderdag 15 juni 2017;20:43;Americana;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 43,80;;€ 0,00;€ 43,80
;;;;;;;;;;Chicken Kebab;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;;;;

Haarlem Zuid;Dustin Samuel;06-11583147;DustinSamuel@dayrep.com;Eendrachtstraat 112;Haarlem;zondag 11 februari 2018;Afhalen;zondag 11 februari 2018;20:31;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 17,90;;€ 0,00;€ 17,90
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;

Purmerend;Nynke Kuijpers;06-25958570;NynkeKuijpers@cuvox.de;Moerasvaren 40;Purmerend;zaterdag 14 juli 2018;Bezorgen;zaterdag 14 juli 2018;20:37;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;€ 66,70;;€ 0,00;€ 66,70
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Veggi;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;Ham;€ 1,00;€ 27,90;;;;

Maastricht;Keisha ter Brugge;06-29015202;KeishaterBrugge@jourrapide.com;Rembrandtstraat 86;Maastricht;zondag 24 november 2019;Bezorgen;zondag 24 november 2019;20:28;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;4;;€ 0,00;€ 59,80;€ 79,70;;€ 0,00;€ 79,70
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Hoorn;Jacob Olislagers;06-57738125;JacobOlislagers@dayrep.com;Kaarder 65;Hoorn;zondag 8 juli 2018;Afhalen;zondag 8 juli 2018;17:00;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Uden;Raimond Kuiken;06-47023342;RaimondKuiken@fleckens.hu;Waterstraat 182;Uden;vrijdag 13 april 2018;Afhalen;vrijdag 13 april 2018;16:10;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;€ 24,85;;€ 0,00;€ 24,85
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;;;;

Arnhem Centrum;Wouter-Jan van Kippersluis;06-27727739;Wouter-JanvanKippersluis@dayrep.com;Velperweg 168;Arnhem;zaterdag 15 juli 2017;Afhalen;zaterdag 15 juli 2017;18:10;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;€ 22,85;2e pizza gratis bij afhalen;€ 7,95;€ 14,90
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 8,95;;;;

Wageningen;Zefanja Arnoldussen;06-69810215;ZefanjaArnoldussen@armyspy.com;Nude 31;Wageningen;maandag 11 september 2017;Bezorgen;maandag 11 september 2017;18:14;Caprese;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 116,45;;€ 0,00;€ 116,45
;;;;;;;;;;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;4;;€ 0,00;€ 47,80;;;;
;;;;;;;;;;Veggi;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 35,80;;;;

Bergen op Zoom;Ouafa Reintjens;06-28942648;OuafaReintjens@teleworm.us;Magnolia 123;Halsteren;dinsdag 21 mei 2019;Bezorgen;dinsdag 21 mei 2019;16:16;Caprese;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 6,95;€ 16,90;;€ 0,00;€ 16,90
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Voorburg;Chinouk Snoeij;06-78104107;ChinoukSnoeij@rhyta.com;Stompwijkseweg 182;Leidschendam;woensdag 22 mei 2019;Afhalen;woensdag 22 mei 2019;19:01;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 12,95;€ 12,95;25% korting op je bestelling;€ 3,24;€ 9,71

Leiden;Zino Stokkers;06-56284055;ZinoStokkers@superrito.com;Churchilllaan 107;Leiden;zondag 22 oktober 2017;Afhalen;zondag 22 oktober 2017;20:31;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 17,90;2e pizza gratis bij afhalen;€ 0,00;€ 17,90

Wijchen;Christinus Remkes;06-50738447;ChristinusRemkes@teleworm.us;Diemewei 187;Wijchen;donderdag 26 januari 2017;Afhalen;donderdag 26 januari 2017;20:55;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;€ 9,90;25% korting op je bestelling;€ 2,48;€ 7,43

Voorschoten;Esme van der Torre;06-38450021;EsmevanderTorre@teleworm.us;Koningin Emmalaan 14;Voorschoten;zaterdag 24 juni 2017;Bezorgen;zaterdag 24 juni 2017;17:12;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 55,80;€ 133,40;;€ 0,00;€ 133,40
;;;;;;;;;;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 35,80;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Capelle a/d Yssel;Shereen Boorsma;06-72977600;ShereenBoorsma@armyspy.com;Schermerhoek 8;Capelle aan den IJssel;dinsdag 16 mei 2017;Afhalen;dinsdag 16 mei 2017;20:14;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 13,90;€ 23,80;;€ 0,00;€ 23,80
;;;;;;;;;;Funghi;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;;;;

Eindhoven Tongelre;Antal Dielissen;06-97877443;AntalDielissen@armyspy.com;Arieslaan 107;Eindhoven;zaterdag 18 november 2017;Bezorgen;zaterdag 18 november 2017;18:39;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Bussum;Nassim van der Steege;06-56418557;NassimvanderSteege@einrot.com;Veldheimerlaan 172;Bussum;donderdag 2 november 2017;Afhalen;donderdag 2 november 2017;20:57;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 13,95;€ 13,95;3e pizza gratis bij bezorgen;€ 0,00;€ 13,95

Alkmaar;Wissal van Erp;06-67441482;WissalvanErp@gustr.com;Wielingenweg 13;Alkmaar;woensdag 29 augustus 2018;Afhalen;woensdag 29 augustus 2018;17:01;BBQ Chicken Hawaii;Large Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 21,90;25% korting op je bestelling;€ 5,48;€ 16,43

AC Sevenum;Anna Streefland;06-55456602;AnnaStreefland@gustr.com;Beatrixstraat 88;Sevenum;donderdag 23 februari 2017;Bezorgen;donderdag 23 februari 2017;18:46;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 31,85;;€ 0,00;€ 31,85
;;;;;;;;;;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

Tiel;Mounaim Kooman;06-67217387;MounaimKooman@gustr.com;L. Wilkensstraat 114;Tiel;woensdag 29 november 2017;Bezorgen;woensdag 29 november 2017;16:48;Veggi;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 59,75;;€ 0,00;€ 59,75
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;
;;;;;;;;;;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Zwolle;Moises Gielen;06-11037099;MoisesGielen@jourrapide.com;De Ruyterstraat 118;Zwolle;donderdag 1 augustus 2019;Bezorgen;donderdag 1 augustus 2019;20:31;Shoarma;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 72,25;;€ 0,00;€ 72,25
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;
;;;;;;;;;;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;2;Merguez, Kaasmix, Geitenkaas, Geitenkaas;€ 4,50;€ 26,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;1;Tonijn, Chicken Kebab;€ 3,50;€ 15,45;;;;

Gorinchem;Tiemen Pluimers;06-10284017;TiemenPluimers@rhyta.com;Hellendaelsingel 63;Gorinchem;maandag 18 september 2017;Afhalen;maandag 18 september 2017;16:21;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 6,95;€ 6,95;;€ 0,00;€ 6,95

Lelystad;Wilko Zuurmond;06-16715635;WilkoZuurmond@fleckens.hu;Gondel 1;Lelystad;vrijdag 2 augustus 2019;Bezorgen;vrijdag 2 augustus 2019;18:50;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 15,95;€ 15,95;;€ 0,00;€ 15,95

Hoofddorp;Eric Kanters;06-30199348;EricKanters@gustr.com;Jouke Jochemswei 102;Boornbergum;zondag 11 juni 2017;Bezorgen;zondag 11 juni 2017;19:13;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Alphen aan den Rijn;Giliano Peeters;06-69525988;GilianoPeeters@superrito.com;Aardster 22;Alphen aan den Rijn;donderdag 22 juni 2017;Bezorgen;donderdag 22 juni 2017;17:01;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 77,70;;€ 0,00;€ 77,70
;;;;;;;;;;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;1;Groene Olijven, Bacon, Merguez;€ 3,00;€ 16,95;;;;
;;;;;;;;;;Chicken Kebab;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;

Den Haag Oude Haagweg;Tyrell Vosters;06-23715518;TyrellVosters@superrito.com;Stoepemaheerd 118;Groningen;zaterdag 30 juni 2018;Afhalen;zaterdag 30 juni 2018;20:27;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;€ 4,95;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 4,95

Leeuwarden;Aleksandra Stiphout;06-97836695;AleksandraStiphout@dayrep.com;Eestraat 93;Leeuwarden;donderdag 10 januari 2019;Afhalen;donderdag 10 januari 2019;19:15;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 12,95;€ 12,95;;€ 0,00;€ 12,95

Eindhoven Tongelre;Christopher Vonck;06-56556698;ChristopherVonck@armyspy.com;Pauwlaan 78;Eindhoven;dinsdag 24 december 2019;Afhalen;dinsdag 24 december 2019;19:34;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;€ 67,70;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 65,70
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;;4;Ananas, Salami, Kip, Spinazie;€ 4,00;€ 51,80;;;;

Hellevoetsluis;Almina de Heij;06-35969129;AlminadeHeij@cuvox.de;Hordenpad 185;Hellevoetsluis;vrijdag 28 juli 2017;Afhalen;vrijdag 28 juli 2017;19:09;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 25,90;€ 83,60;;€ 0,00;€ 83,60
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Creamy Bacon;Family XXL Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

Rotterdam Zevenkamp;Janey Tienstra;06-83625717;JaneyTienstra@einrot.com;Struikheide 15;Rotterdam;donderdag 21 december 2017;Bezorgen;donderdag 21 december 2017;20:03;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 52,80;;€ 0,00;€ 52,80
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Houten;Desney van Ooijen;06-67192139;DesneyvanOoijen@teleworm.us;Jukveld 194;Houten;zondag 17 november 2019;Afhalen;zondag 17 november 2019;16:10;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 21,90;;€ 0,00;€ 21,90
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 12,95;;;;

Emmen;Bente Burhenne;06-22622702;BenteBurhenne@rhyta.com;Heidebloemstraat 100;Erica;donderdag 19 januari 2017;Afhalen;donderdag 19 januari 2017;17:22;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 9,95;€ 16,90;;€ 0,00;€ 16,90
;;;;;;;;;;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 6,95;;;;

Eindhoven Woensel;Rins Tielman;06-86600020;RinsTielman@cuvox.de;Zeelsterstraat 158;Eindhoven;dinsdag 12 maart 2019;Bezorgen;dinsdag 12 maart 2019;17:00;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 57,75;25% korting op je bestelling;€ 14,44;€ 43,31
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Tiel;Gitte Gunnink;06-71633228;GitteGunnink@einrot.com;Zuiderhavenweg 183;Tiel;zondag 3 februari 2019;Afhalen;zondag 3 februari 2019;16:56;Shoarma;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;€ 34,85;;€ 0,00;€ 34,85
;;;;;;;;;;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;;;;

Groningen Paterswoldseweg;Enrique Coenen;06-22865510;EnriqueCoenen@teleworm.us;Bekemaheerd 116;Groningen;maandag 11 september 2017;Bezorgen;maandag 11 september 2017;20:08;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 25,90;2e pizza gratis bij afhalen;€ 0,00;€ 25,90
;;;;;;;;;;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 15,95;;;;

Harderwijk;Reimer Wijnans;06-62403819;ReimerWijnans@dayrep.com;Metten Gerritskamp 66;Harderwijk;donderdag 16 februari 2017;Afhalen;donderdag 16 februari 2017;20:09;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 7,95;€ 7,95;2e pizza gratis bij afhalen;€ 0,00;€ 7,95

Geldrop;Dingena Wunderink;06-73272310;DingenaWunderink@superrito.com;Gildestraat 144;Geldrop;woensdag 3 juli 2019;Bezorgen;woensdag 3 juli 2019;17:51;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;€ 17,90;25% korting op je bestelling;€ 4,48;€ 13,43

Rotterdam Schiebroek;Ioannis Veer;06-86235155;IoannisVeer@jourrapide.com;Essenlaan 71;Rotterdam;donderdag 16 mei 2019;Afhalen;donderdag 16 mei 2019;18:23;Tonno;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 36,85;;€ 0,00;€ 36,85
;;;;;;;;;;Shoarma;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;;;;

Scheveningen;Nikola van Agtmaal;06-44564652;NikolavanAgtmaal@gustr.com;Van Dillewijndreef 125;Amersfoort;zondag 18 maart 2018;Bezorgen;zondag 18 maart 2018;18:34;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 28,85;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 26,85
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 15,90;;;;

Alkmaar;Soumia Kraak;06-24691943;SoumiaKraak@cuvox.de;Schiermonnikoogstraat 48;Alkmaar;dinsdag 23 april 2019;Afhalen;dinsdag 23 april 2019;19:53;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 21,90;€ 56,75;;€ 0,00;€ 56,75
;;;;;;;;;;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 12,95;;;;

Dongen;Mex van der Hoff;06-97618604;MexvanderHoff@gustr.com;Wilhelminalaan 188;s-Gravenmoer;maandag 12 juni 2017;Afhalen;maandag 12 juni 2017;16:38;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 23,90;€ 52,75;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 50,75
;;;;;;;;;;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Veggi;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;;;;

Kampen;Avalon Betten;06-19020750;AvalonBetten@teleworm.us;IJsselkade 102;Kampen;vrijdag 10 februari 2017;Afhalen;vrijdag 10 februari 2017;18:03;Funghi;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;€ 43,70;;€ 0,00;€ 43,70
;;;;;;;;;;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Tonno;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;;;;

Rotterdam Noord;Jasmin Smale;06-97885312;JasminSmale@cuvox.de;Rakstraat 4;Rotterdam;woensdag 23 augustus 2017;Bezorgen;woensdag 23 augustus 2017;16:12;Funghi;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 15,90;€ 81,60;3e pizza gratis bij bezorgen;€ 4,95;€ 76,65
;;;;;;;;;;Beenham;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;

Papendrecht;Adi Borkent;06-71318185;AdiBorkent@jourrapide.com;Berkenhof 194;Papendrecht;dinsdag 5 juni 2018;Afhalen;dinsdag 5 juni 2018;20:52;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;;2;;€ 0,00;€ 17,90;€ 26,85;;€ 0,00;€ 26,85
;;;;;;;;;;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;

Amstelveen;Tim Ubels;06-30006964;TimUbels@superrito.com;Buitenplein 49;Amstelveen;donderdag 3 januari 2019;Afhalen;donderdag 3 januari 2019;18:18;Supreme;Medium Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 7,95;€ 27,85;;€ 0,00;€ 27,85
;;;;;;;;;;Margaritha;Family XXL Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 19,90;;;;

Utrecht Rijnlaan;Emre Draaijer;06-54811622;EmreDraaijer@armyspy.com;Rooseveltlaan 7;Utrecht;zaterdag 3 november 2018;Bezorgen;zaterdag 3 november 2018;17:48;Margaritha;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 15,90;€ 27,35;25% korting op je bestelling;€ 6,84;€ 20,51
;;;;;;;;;;Perfect Pepperoni;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;Spaanse Pepers, Honing Mosterdsaus, Kip, Gehakt;€ 3,50;€ 11,45;;;;

Dongen;Joram Stoffels;06-40870836;JoramStoffels@superrito.com;Hoge Ham 135;Dongen;donderdag 21 maart 2019;Bezorgen;donderdag 21 maart 2019;16:13;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;€ 2,00;4;Spinazie, Ananas, Champignons, Knoflooksaus Swirl;€ 3,50;€ 73,80;€ 139,05;2e pizza gratis bij afhalen;€ 0,00;€ 139,05
;;;;;;;;;;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 51,80;;;;
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Kaasmix, Bacon, Gehakt, Verse Tomaat;€ 4,50;€ 13,45;;;;

Diemen;Yamina Huiskamp;06-27626924;YaminaHuiskamp@dayrep.com;Rietzangerweg 46;Diemen;zaterdag 2 december 2017;Afhalen;zaterdag 2 december 2017;20:24;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;€ 25,90;;€ 0,00;€ 25,90

Haarlem Zuid;Ervin Topal;06-42153331;ErvinTopal@einrot.com;Engelandlaan 15;Haarlem;zaterdag 5 mei 2018;Afhalen;zaterdag 5 mei 2018;17:31;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 6,95;25% korting op je bestelling;€ 1,74;€ 5,21

Arnhem;Hanne Brandon;06-42741853;HanneBrandon@armyspy.com;Haya van Someren-Downerstraat 97;Arnhem;woensdag 5 december 2018;Bezorgen;woensdag 5 december 2018;18:52;Funghi;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 74,70;;€ 0,00;€ 74,70
;;;;;;;;;;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;
;;;;;;;;;;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Rotterdam Vuurplaat;Stan Doeleman;06-79864337;StanDoeleman@cuvox.de;Gordelweg 156;Rotterdam;dinsdag 28 augustus 2018;Bezorgen;dinsdag 28 augustus 2018;19:57;Shoarma;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 56,75;;€ 0,00;€ 56,75
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Funghi;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Groningen Paddepoel;Binck Jung;06-14091886;BinckJung@jourrapide.com;Iepenlaan 3;Groningen;zaterdag 30 november 2019;Bezorgen;zaterdag 30 november 2019;19:12;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 19,90;;€ 0,00;€ 19,90
;;;;;;;;;;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Landgraaf;Viviana Stoelwinder;06-36950325;VivianaStoelwinder@armyspy.com;Surinameplein 22;Landgraaf;vrijdag 2 juni 2017;Afhalen;vrijdag 2 juni 2017;18:22;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 27,90;€ 27,90;;€ 0,00;€ 27,90

