Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;;2;Basilicum, Pepperoni, Chorizo;€ 2,50;€ 16,90;;;;
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;4;Basilicum, Chorizo, Gehakt, Honing Mosterdsaus;€ 3,00;€ 47,80;;;;
;;;;;;;;;;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 25,90;;;;

Enschede West;Jeftha Touw;06-98179488;JefthaTouw@rhyta.com;Aronskelkstraat 48;Enschede;maandag 2 december 2019;Afhalen;maandag 2 december 2019;18:02;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 13,95;€ 67,70;2e pizza gratis bij afhalen;€ 7,95;€ 59,75
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;2;Ham, Basilicum, Ananas, Ham;€ 3,50;€ 18,90;;;;
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;

Uden;Lamberdina Ekhart;06-45956323;LamberdinaEkhart@armyspy.com;Korenbloemstraat 95;Odiliapeel;zaterdag 12 augustus 2017;Afhalen;zaterdag 12 augustus 2017;17:05;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 47,80;€ 108,55;;€ 0,00;€ 108,55
;;;;;;;;;;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 51,80;;;;

Ede;Rayen Reijs;06-61308526;RayenReijs@gustr.com;Obrechtlaan 105;Ede;zondag 9 september 2018;Bezorgen;zondag 9 september 2018;17:59;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 14,95;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 14,95

Scheveningen;Remzi van Leijen;06-56559284;RemzivanLeijen@fleckens.hu;Leiduinstraat 137;Amsterdam;woensdag 21 februari 2018;Bezorgen;woensdag 21 februari 2018;18:54;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 105,55;;€ 0,00;€ 105,55
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 35,80;;;;
;;;;;;;;;;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;

Valkenswaard;Klaas-Jan Steens;06-84755615;Klaas-JanSteens@cuvox.de;Valkenierstraat 165;Valkenswaard;zondag 29 januari 2017;Bezorgen;zondag 29 januari 2017;20:02;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 51,80;;€ 0,00;€ 51,80
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;

Roosendaal;Leonardo Blank;06-77996092;LeonardoBlank@fleckens.hu;President Kennedylaan 137;Roosendaal;zondag 23 december 2018;Afhalen;zondag 23 december 2018;18:54;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 40,80;;€ 0,00;€ 40,80
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;;1;Ham, Tonijn, Knoflooksaus Swirl, Pepperoni;€ 4,00;€ 11,95;;;;
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 11,95;;;;

Papendrecht;Cornel ten Napel;06-62999027;CorneltenNapel@einrot.com;Frans van Mierisstraat 194;Papendrecht;donderdag 21 februari 2019;Afhalen;donderdag 21 februari 2019;17:34;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 27,80;€ 69,55;;€ 0,00;€ 69,55
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;;3;;€ 0,00;€ 23,85;;;;
;;;;;;;;;;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Perfect Pepperoni;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;;;;

Emmen;Leo Keizers;06-12465688;LeoKeizers@rhyta.com;Boskamp 81;Emmen;dinsdag 6 november 2018;Bezorgen;dinsdag 6 november 2018;19:14;Veggi;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 35,80;€ 48,75;3e pizza gratis bij bezorgen;€ 0,00;€ 48,75
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

Oss;Saadia Duijn;06-40554301;SaadiaDuijn@superrito.com;Hoogheuvelstraat 93;Oss;zondag 29 april 2018;Bezorgen;zondag 29 april 2018;17:14;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 29,85;;€ 0,00;€ 29,85
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Ridderkerk;Mingus Stuifzand;06-69121365;MingusStuifzand@einrot.com;Jasmijnstraat 39;Ridderkerk;woensdag 20 november 2019;Bezorgen;woensdag 20 november 2019;20:18;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 33,85;;€ 0,00;€ 33,85
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;

Soest;Janien Hultink;06-60107763;JanienHultink@armyspy.com;Reigerpad 125;Soest;woensdag 21 februari 2018;Afhalen;woensdag 21 februari 2018;19:48;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 11,90;€ 11,90;25% korting op je bestelling;€ 2,98;€ 8,93

Voorschoten;Chahid den Dekker;06-33015002;ChahiddenDekker@cuvox.de;Sixlaan 13;Voorschoten;woensdag 27 december 2017;Afhalen;woensdag 27 december 2017;20:25;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 6,95;;€ 0,00;€ 6,95

Velp;Vincenzo El Idrissi;06-60536516;VincenzoElIdrissi@jourrapide.com;Biljoen 191;Almelo;maandag 25 december 2017;Afhalen;maandag 25 december 2017;17:03;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 45,80;;€ 0,00;€ 45,80
;;;;;;;;;;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 27,90;;;;

Amersfoort;Rowie Neleman;06-79123162;RowieNeleman@armyspy.com;Oude Kerklaan 156;Hoogland;vrijdag 27 oktober 2017;Afhalen;vrijdag 27 oktober 2017;19:15;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 35,80;€ 45,75;;€ 0,00;€ 45,75
;;;;;;;;;;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 9,95;;;;

Soest;Marita de Brabander;06-61397594;MaritadeBrabander@superrito.com;Professor Lorentzlaan 188;Soesterberg;woensdag 25 oktober 2017;Afhalen;woensdag 25 oktober 2017;18:39;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 10,95;€ 21,90;3e pizza gratis bij bezorgen;€ 0,00;€ 21,90
;;;;;;;;;;Hawaii;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;;;;

Oud Beijerland;Rowin Rijkers;06-32480354;RowinRijkers@jourrapide.com;Gorterstraat 154;Oud-Beijerland;woensdag 26 december 2018;Bezorgen;woensdag 26 december 2018;19:35;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 51,75;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 49,75
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Perfect Pepperoni;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;;€ 0,00;€ 15,90;;;;

Sneek;Marthijs van Diermen;06-22910576;MarthijsvanDiermen@superrito.com;Zilverschoon 25;Sneek;dinsdag 3 januari 2017;Bezorgen;dinsdag 3 januari 2017;16:47;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 49,80;2e pizza gratis bij afhalen;€ 0,00;€ 49,80
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Den Haag Oude Haagweg;Michéle Extra;06-16212909;MicheleExtra@superrito.com;Koningin Julianalaan 22;Maartensdijk;maandag 9 oktober 2017;Afhalen;maandag 9 oktober 2017;16:30;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 6,95;€ 32,85;2e pizza gratis bij afhalen;€ 7,95;€ 24,90
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 25,90;;;;

Valkenswaard;Hilbert Schmit;06-80348760;HilbertSchmit@gustr.com;Peperstraat 185;Valkenswaard;zondag 1 oktober 2017;Bezorgen;zondag 1 oktober 2017;16:08;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 72,65;;€ 0,00;€ 72,65
;;;;;;;;;;Beenham;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Utrecht Adelaarstraat;Amelia Bil;06-25744625;AmeliaBil@armyspy.com;Elbedreef 20;Utrecht;maandag 12 augustus 2019;Afhalen;maandag 12 augustus 2019;19:49;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;;4;;€ 0,00;€ 31,80;€ 47,70;;€ 0,00;€ 47,70
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 15,90;;;;

Alphen aan den Rijn;Harwin Eenink;06-92936047;HarwinEenink@dayrep.com;Sluiskolk 94;Alphen aan den Rijn;zaterdag 8 april 2017;Afhalen;zaterdag 8 april 2017;20:29;Veggi;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 49,70;25% korting op je bestelling;€ 12,43;€ 37,28
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;

Den Haag Oude Haagweg;Shaima van Welij;06-59736699;ShaimavanWelij@einrot.com;Lochterweg 11;Budel-Schoot;woensdag 18 januari 2017;Afhalen;woensdag 18 januari 2017;19:33;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 13,95;€ 29,85;;€ 0,00;€ 29,85
;;;;;;;;;;Four Cheese;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;;;;

Voorburg;Floran Lancee;06-29137109;FloranLancee@fleckens.hu;Binnentuinen 119;Den Haag;donderdag 15 november 2018;Bezorgen;donderdag 15 november 2018;18:26;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 24,90;;€ 0,00;€ 24,90
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Ananas, Geitenkaas;€ 2,00;€ 12,95;;;;

Zwolle;Noraly van Urk;06-75913298;NoralyvanUrk@einrot.com;Van Langenmarke 77;Zwolle;maandag 25 november 2019;Afhalen;maandag 25 november 2019;17:26;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 6,95;;€ 0,00;€ 6,95

De Meern;Urvin Cazemier;06-54634388;UrvinCazemier@dayrep.com;Meester Gerard Pijllstraat 134;Geertruidenberg;donderdag 28 september 2017;Bezorgen;donderdag 28 september 2017;17:42;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;€ 2,00;4;;€ 0,00;€ 47,80;€ 69,70;2e pizza gratis bij afhalen;€ 0,00;€ 69,70
;;;;;;;;;;Chicken Kebab;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;;;;

Zoetermeer;Démi van Eeten;06-60379116;DemivanEeten@armyspy.com;Jagersbos 3;Zoetermeer;zondag 27 januari 2019;Bezorgen;zondag 27 januari 2019;19:29;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 53,70;;€ 0,00;€ 53,70
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Purmerend;Twan Robert;06-13150486;TwanRobert@gustr.com;Van IJsendijkstraat 10;Purmerend;zaterdag 27 mei 2017;Afhalen;zaterdag 27 mei 2017;19:48;Caprese;Medium Pizza;Tomatensaus;€ 4,95;;1;Rode Ui, Basilicum, Ham, Honing Mosterdsaus;€ 3,00;€ 7,95;€ 17,85;;€ 0,00;€ 17,85
;;;;;;;;;;Funghi;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;;;;

Schiedam;Bojana Mommersteeg;06-71632156;BojanaMommersteeg@einrot.com;Royaardsplein 69;Schiedam;zondag 24 juni 2018;Afhalen;zondag 24 juni 2018;18:48;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 36,75;25% korting op je bestelling;€ 9,19;€ 27,56
;;;;;;;;;;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;4;;€ 0,00;€ 27,80;;;;

Roermond;Ervin Stegehuis;06-71046468;ErvinStegehuis@einrot.com;Looierstraat 140;Roermond;zondag 11 augustus 2019;Afhalen;zondag 11 augustus 2019;18:02;Chicken Kebab;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;€ 71,65;3e pizza gratis bij bezorgen;€ 0,00;€ 71,65
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;;;;
;;;;;;;;;;Chicken Kebab;Large Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;;;;

Geldrop;Jaya van Woerkom;06-73841235;JayavanWoerkom@teleworm.us;Wijnsel 23;Geldrop;vrijdag 14 december 2018;Bezorgen;vrijdag 14 december 2018;18:44;Margaritha;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 64,70;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 62,70
;;;;;;;;;;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Breda Kesterenlaan;Jale van der Poll;06-43570338;JalevanderPoll@jourrapide.com;Riethil 42;Breda;dinsdag 26 november 2019;Afhalen;dinsdag 26 november 2019;16:45;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 43,80;€ 43,80;;€ 0,00;€ 43,80

Nootdorp;Charella Hek;06-78026162;CharellaHek@armyspy.com;Chassestraat 25;Amsterdam;woensdag 7 augustus 2019;Afhalen;woensdag 7 augustus 2019;19:01;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 25,90;€ 80,65;25% korting op je bestelling;€ 20,16;€ 60,49
;;;;;;;;;;Tonno;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;

Den Helder;Jitske Zuiderveld;06-73555090;JitskeZuiderveld@gustr.com;Kruiszwin 197;Den Helder;zaterdag 13 mei 2017;Bezorgen;zaterdag 13 mei 2017;17:30;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 21,90;;€ 0,00;€ 21,90

Haarlem Tesselschadeplein;Marèll Tuininga;06-13233615;MarellTuininga@gustr.com;Schoterweg 85;Haarlem;zondag 20 augustus 2017;Afhalen;zondag 20 augustus 2017;20:40;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;;4;;€ 0,00;€ 35,80;€ 106,45;;€ 0,00;€ 106,45
;;;;;;;;;;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 43,80;;;;
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 19,90;;;;

Dordrecht Van Oldenbarneveltplein;Tammy Oosting;06-33350120;TammyOosting@armyspy.com;Amalia van Solmsstraat 64;Dordrecht;zaterdag 8 juli 2017;Bezorgen;zaterdag 8 juli 2017;16:03;Margaritha;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 43,80;;€ 0,00;€ 43,80
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Hengelo;Smahane Engberts;06-81161756;SmahaneEngberts@superrito.com;Margriethof 134;Hengelo;donderdag 11 mei 2017;Afhalen;donderdag 11 mei 2017;18:31;Americana;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 71,60;;€ 0,00;€ 71,60
;;;;;;;;;;Tonno;Medium Pizza;Tomatensaus;€ 6,95;;4;Beenham;€ 1,50;€ 33,80;;;;
;;;;;;;;;;Beenham;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;;;;

Vlaardingen;Emel van Breukelen;06-21754478;EmelvanBreukelen@jourrapide.com;Doctor Wiardi Beckmansingel 197;Vlaardingen;donderdag 12 september 2019;Afhalen;donderdag 12 september 2019;20:41;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Dordrecht Van Oldenbarneveltplein;Sue-Ann Bloemink;06-97964591;Sue-AnnBloemink@gustr.com;Jean-Paul Sartre-Erf 137;Dordrecht;vrijdag 7 december 2018;Bezorgen;vrijdag 7 december 2018;17:23;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 65,75;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 63,75
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;Groene Olijven, Kip, Groene Olijven;€ 3,00;€ 12,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;

Sneek;Romany Westerduin;06-86161429;RomanyWesterduin@jourrapide.com;Napjusstraat 169;Sneek;maandag 18 maart 2019;Bezorgen;maandag 18 maart 2019;17:15;Funghi;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 15,90;€ 80,65;;€ 0,00;€ 80,65
;;;;;;;;;;Margaritha;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;

Tilburg Laarstraat;Yaëlle de Coninck;06-24399087;YaelledeConinck@rhyta.com;Sint Josephdwarsstraat 180;Tilburg;zaterdag 17 november 2018;Bezorgen;zaterdag 17 november 2018;16:00;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;Ham, Champignons;€ 2,00;€ 13,95;€ 48,80;;€ 0,00;€ 48,80
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;

Rotterdam Zuidplein;Fae Röling;06-80295350;FaeRoling@einrot.com;Wolphaertsbocht 49;Rotterdam;zaterdag 30 december 2017;Bezorgen;zaterdag 30 december 2017;19:13;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 54,75;;€ 0,00;€ 54,75
;;;;;;;;;;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;1;Chicken Kebab, Spinazie, Chicken Kebab, Paprikamix;€ 6,00;€ 12,95;;;;

Bussum;Mathys Knippenberg;06-58458135;MathysKnippenberg@dayrep.com;Schoolstraat 121;Bussum;zondag 20 mei 2018;Bezorgen;zondag 20 mei 2018;19:16;Perfect Pepperoni;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;€ 27,85;;€ 0,00;€ 27,85
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Geleen;Vishnu Veugelers;06-15011968;VishnuVeugelers@armyspy.com;Professor Rommeflat 68;Geleen;donderdag 9 mei 2019;Bezorgen;donderdag 9 mei 2019;18:02;Americana;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Leiderdorp;Salsabil van Wetten;06-88576660;SalsabilvanWetten@cuvox.de;Lindelaan 99;Leiderdorp;maandag 26 juni 2017;Bezorgen;maandag 26 juni 2017;19:16;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 21,90;;€ 0,00;€ 21,90
;;;;;;;;;;BBQ Cannibale;Medium Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 6,95;;;;

Gouda;Anne-Sophie van der Gouw;06-14326835;Anne-SophievanderGouw@dayrep.com;Runmolenerf 22;Gouda;woensdag 14 augustus 2019;Bezorgen;woensdag 14 augustus 2019;20:53;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 47,75;;€ 0,00;€ 47,75
;;;;;;;;;;Funghi;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Goes;Davina Phan;06-18065416;DavinaPhan@rhyta.com;Violenstraat 63;Goes;vrijdag 6 december 2019;Afhalen;vrijdag 6 december 2019;16:29;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;;4;;€ 0,00;€ 27,80;€ 37,25;;€ 0,00;€ 37,25
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;;1;Kip, Basilicum;€ 1,50;€ 9,45;;;;

Soest;Bouke Narain;06-19848814;BoukeNarain@jourrapide.com;De Binnentuin 181;Soest;maandag 2 oktober 2017;Bezorgen;maandag 2 oktober 2017;16:48;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

